MoleculeGroup	PrecursorName	PrecursorFormula	PrecursorAdduct	PrecursorMz	PrecursorCharge	ProductName	ProductFormula	ProductAdduct	ProductMz	ProductCharge	Note
9(10)-EpOME	9(10)-EpOME{d4}	C18H28H'4O3	[M-H]1-	299.252975530909	-1	281.2418		[M-H]1-	281.2418	-1	replicate of 12(13)-EpOME{d4} [M-H]1- 281,242
9(10)-EpOME	9(10)-EpOME{d4}	C18H28H'4O3	[M-H]1-	299.252975530909	-1	280.2357		[M-H]1-	280.2357	-1	replicate of 13-HODE{d4} [M-H]1- 280,236
9(10)-EpOME	9(10)-EpOME{d4}	C18H28H'4O3	[M-H]1-	299.252975530909	-1	198.1579		[M-H]1-	198.1579	-1	replicate of 12(13)-EpOME{d4} [M-H]1- 198,158
9(10)-EpOME	9(10)-EpOME{d4}	C18H28H'4O3	[M-H]1-	299.252975530909	-1	185.1150		[M-H]1-	185.1150	-1	
9(10)-EpOME	9(10)-EpOME{d4}	C18H28H'4O3	[M-H]1-	299.252975530909	-1	172.1089		[M-H]1-	172.1089	-1	
9(10)-EpOME	9(10)-EpOME{d4}	C18H28H'4O3	[M-H]1-	299.252975530909	-1	59.0133		[M-H]1-	59.0133	-1	replicate of 12(13)-EpOME{d4} [M-H]1- 59,013
9(10)-EpOME	9(10)-EpOME{d4}	C18H28H'4O3	[M-H]1-	299.252975530909	-1	precursor	C18H28H'4O3	[M-H]1-	299.252975530909	-1	replicate of 12(13)-EpOME{d4} [M-H]1- precursor
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	299.2014		[M-H]1-	299.2014	-1	replicate of 12-HEPE [M-H]1- 299,201
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	255.2117		[M-H]1-	255.2117	-1	replicate of 12-HEPE [M-H]1- 255,212
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	177.1284		[M-H]1-	177.1284	-1	
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	167.0713		[M-H]1-	167.0713	-1	
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	149.1334		[M-H]1-	149.1334	-1	
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	139.0764		[M-H]1-	139.0764	-1	
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	123.0816		[M-H]1-	123.0816	-1	
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	69.0342		[M-H]1-	69.0342	-1	
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	59.0133		[M-H]1-	59.0133	-1	replicate of 12-HEPE [M-H]1- 59,013
9-HEPE	9-HEPE	C20H30O3	[M-H]1-	317.212218484909	-1	precursor	C20H30O3	[M-H]1-	317.212218484909	-1	replicate of 12-HEPE [M-H]1- precursor
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	301.2170		[M-H]1-	301.2170	-1	replicate of 11(12)-EET [M-H]1- 301,217
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	257.2275		[M-H]1-	257.2275	-1	replicate of 5(6)-EET [M-H]1- 257,228
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	203.1804		[M-H]1-	203.1804	-1	replicate of 11(12)-EET [M-H]1- 203,180
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	179.1440		[M-H]1-	179.1440	-1	replicate of 8(9)-EET [M-H]1- 179,144
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	167.0712		[M-H]1-	167.0712	-1	
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	139.0764		[M-H]1-	139.0764	-1	
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	123.0815		[M-H]1-	123.0815	-1	replicate of 8(9)-EET [M-H]1- 123,082
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	69.0342		[M-H]1-	69.0342	-1	replicate of 8(9)-EET [M-H]1- 69,034
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	59.0133		[M-H]1-	59.0133	-1	replicate of 11(12)-EET [M-H]1- 59,013
9-HETE	9-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	precursor	C20H32O3	[M-H]1-	319.227868554909	-1	replicate of 11(12)-EET [M-H]1- precursor
9-HODE	9-HODE	C18H32O3	[M-H]1-	295.227868554909	-1	277.2169		[M-H]1-	277.2169	-1	replicate of 12(13)-EpOME [M-H]1- 277,217
9-HODE	9-HODE	C18H32O3	[M-H]1-	295.227868554909	-1	233.2274		[M-H]1-	233.2274	-1	
9-HODE	9-HODE	C18H32O3	[M-H]1-	295.227868554909	-1	171.1025		[M-H]1-	171.1025	-1	replicate of 9(10)-EpOME [M-H]1- 171,103
9-HODE	9-HODE	C18H32O3	[M-H]1-	295.227868554909	-1	123.1179		[M-H]1-	123.1179	-1	
9-HODE	9-HODE	C18H32O3	[M-H]1-	295.227868554909	-1	59.0133		[M-H]1-	59.0133	-1	replicate of 12(13)-EpOME [M-H]1- 59,013
9-HODE	9-HODE	C18H32O3	[M-H]1-	295.227868554909	-1	precursor	C18H32O3	[M-H]1-	295.227868554909	-1	replicate of 12(13)-EpOME [M-H]1- precursor
9-HOTrE	9-HOTrE	C18H30O3	[M-H]1-	293.212218484909	-1	275.2018		[M-H]1-	275.2018	-1	
9-HOTrE	9-HOTrE	C18H30O3	[M-H]1-	293.212218484909	-1	231.2119		[M-H]1-	231.2119	-1	
9-HOTrE	9-HOTrE	C18H30O3	[M-H]1-	293.212218484909	-1	185.1184		[M-H]1-	185.1184	-1	
9-HOTrE	9-HOTrE	C18H30O3	[M-H]1-	293.212218484909	-1	171.1029		[M-H]1-	171.1029	-1	
9-HOTrE	9-HOTrE	C18H30O3	[M-H]1-	293.212218484909	-1	121.1024		[M-H]1-	121.1024	-1	
9-HOTrE	9-HOTrE	C18H30O3	[M-H]1-	293.212218484909	-1	71.0137		[M-H]1-	71.0137	-1	
9-HOTrE	9-HOTrE	C18H30O3	[M-H]1-	293.212218484909	-1	59.0135		[M-H]1-	59.0135	-1	
